,can0_ESP_v_Signal [Unit_KiloMeterPerHour],can0_ESP_Bremsdruck [Unit_Bar],can0_ESP_Laengsbeschl [Unit_MeterPerSeconSquar]
83865,0.0,0.0,0.0
83866,0.0,0.0,0.09375
83867,0.0,0.0,0.09375
83868,0.0,0.2999999999999972,0.09375
83869,0.0,0.2999999999999972,0.09375
83870,0.0,0.0,0.1875
83871,0.0,0.0,0.1875
83872,0.0,0.0,0.28125
83873,0.0,0.0,0.28125
83874,0.0,0.0,0.375
83875,0.0,0.0,0.375
83876,0.0,0.0,0.46875
83877,0.0,0.0,0.46875
83878,0.0,0.0,0.46875
83879,0.0,0.0,0.46875
83880,0.0,0.0,0.5625
83881,0.0,0.0,0.5625
83882,0.0,0.0,0.65625
83883,0.0,0.0,0.65625
83884,0.0,0.0,0.875
83885,0.0,0.0,0.875
83886,0.0,0.0,0.96875
83887,0.0,0.0,0.96875
83888,0.0,0.0,1.0625
83889,0.0,0.0,1.0625
83890,0.0,0.0,1.0625
83891,0.0,0.0,1.0625
83892,0.34,0.0,1.15625
83893,0.34,0.0,1.15625
83894,0.74,0.0,1.15625
83895,0.74,0.0,1.15625
83896,0.74,0.0,1.25
83897,0.74,0.0,1.25
83898,1.19,0.0,1.34375
83899,1.19,0.0,1.34375
83900,1.19,0.0,1.34375
83901,1.19,0.0,1.34375
83902,1.39,0.0,1.46875
83903,1.39,0.0,1.46875
83904,1.57,0.0,1.5625
83905,1.57,0.0,1.5625
83906,1.71,0.0,1.65625
83907,1.71,0.0,1.65625
83908,1.87,0.0,1.65625
83909,1.87,0.0,1.65625
83910,2.1,0.0,1.75
83911,2.1,0.0,1.75
83912,2.1,0.0,1.75
83913,2.1,0.0,1.75
83914,2.35,0.0,1.84375
83915,2.35,0.0,1.84375
83916,2.35,0.2999999999999972,1.84375
83917,2.35,0.2999999999999972,1.84375
83918,2.59,0.0,1.84375
83919,2.59,0.0,1.84375
83920,2.76,0.0,1.84375
83921,2.76,0.0,1.84375
83922,2.97,0.0,1.9375
83923,2.97,0.0,1.9375
83924,3.09,0.2999999999999972,1.9375
83925,3.09,0.2999999999999972,1.9375
83926,3.19,0.0,1.9375
83927,3.19,0.0,1.9375
83928,3.35,0.2999999999999972,1.9375
83929,3.35,0.2999999999999972,1.9375
83930,3.5,0.0,1.9375
83931,3.5,0.0,1.9375
83932,3.72,0.0,1.9375
83933,3.72,0.0,1.9375
83934,3.91,0.0,1.9375
83935,3.91,0.0,1.9375
83936,4.03,0.0,1.9375
83937,4.03,0.0,1.9375
83938,4.29,0.0,2.03125
83939,4.29,0.0,2.03125
83940,4.51,0.0,2.15625
83941,4.51,0.0,2.15625
83942,4.69,0.2999999999999972,2.15625
83943,4.69,0.2999999999999972,2.15625
83944,4.8,0.2999999999999972,2.25
83945,4.8,0.2999999999999972,2.25
83946,4.95,0.0,2.34375
83947,4.95,0.0,2.34375
83948,5.25,0.0,2.34375
83949,5.25,0.0,2.34375
83950,5.47,0.0,2.4375
83951,5.47,0.0,2.4375
83952,5.67,0.0,2.4375
